,delta,t1,tm,dir,sptree
260,0.20777777777777778,16000.0,1.0,P3 into P2,AB
261,0.20777777777777778,16000.0,1778.6666666666667,P3 into P2,AB
262,0.20777777777777778,16000.0,3556.3333333333335,P3 into P2,AB
263,0.20777777777777778,16000.0,5334.0,P3 into P2,AB
264,0.20777777777777778,16000.0,7111.666666666667,P3 into P2,AB
265,0.20777777777777778,16000.0,8889.333333333334,P3 into P2,AB
266,0.20777777777777778,16000.0,10667.0,P3 into P2,AB
267,0.20777777777777778,16000.0,12444.666666666668,P3 into P2,AB
268,0.20777777777777778,16000.0,14222.333333333334,P3 into P2,AB
269,0.20777777777777778,16000.0,16000.0,P3 into P2,AB
270,0.20777777777777778,18333.333333333336,1.0,P3 into P2,AB
271,0.20777777777777778,18333.333333333336,2037.925925925926,P3 into P2,AB
272,0.20777777777777778,18333.333333333336,4074.851851851852,P3 into P2,AB
273,0.20777777777777778,18333.333333333336,6111.777777777778,P3 into P2,AB
274,0.20777777777777778,18333.333333333336,8148.703703703704,P3 into P2,AB
275,0.20777777777777778,18333.333333333336,10185.629629629631,P3 into P2,AB
276,0.20777777777777778,18333.333333333336,12222.555555555557,P3 into P2,AB
277,0.20777777777777778,18333.333333333336,14259.481481481482,P3 into P2,AB
278,0.20777777777777778,18333.333333333336,16296.407407407409,P3 into P2,AB
279,0.20777777777777778,18333.333333333336,18333.333333333336,P3 into P2,AB
280,0.20777777777777778,20666.666666666668,1.0,P3 into P2,AB
281,0.20777777777777778,20666.666666666668,2297.185185185185,P3 into P2,AB
282,0.20777777777777778,20666.666666666668,4593.37037037037,P3 into P2,AB
283,0.20777777777777778,20666.666666666668,6889.555555555556,P3 into P2,AB
284,0.20777777777777778,20666.666666666668,9185.74074074074,P3 into P2,AB
285,0.20777777777777778,20666.666666666668,11481.925925925927,P3 into P2,AB
286,0.20777777777777778,20666.666666666668,13778.111111111111,P3 into P2,AB
287,0.20777777777777778,20666.666666666668,16074.296296296296,P3 into P2,AB
288,0.20777777777777778,20666.666666666668,18370.48148148148,P3 into P2,AB
289,0.20777777777777778,20666.666666666668,20666.666666666668,P3 into P2,AB
290,0.20777777777777778,23000.0,1.0,P3 into P2,AB
291,0.20777777777777778,23000.0,2556.4444444444443,P3 into P2,AB
292,0.20777777777777778,23000.0,5111.888888888889,P3 into P2,AB
293,0.20777777777777778,23000.0,7667.333333333333,P3 into P2,AB
294,0.20777777777777778,23000.0,10222.777777777777,P3 into P2,AB
295,0.20777777777777778,23000.0,12778.222222222223,P3 into P2,AB
296,0.20777777777777778,23000.0,15333.666666666666,P3 into P2,AB
297,0.20777777777777778,23000.0,17889.11111111111,P3 into P2,AB
298,0.20777777777777778,23000.0,20444.555555555555,P3 into P2,AB
299,0.20777777777777778,23000.0,23000.0,P3 into P2,AB
300,0.30666666666666664,2000.0,1.0,P3 into P2,AB
301,0.30666666666666664,2000.0,223.11111111111111,P3 into P2,AB
302,0.30666666666666664,2000.0,445.22222222222223,P3 into P2,AB
303,0.30666666666666664,2000.0,667.3333333333334,P3 into P2,AB
304,0.30666666666666664,2000.0,889.4444444444445,P3 into P2,AB
305,0.30666666666666664,2000.0,1111.5555555555557,P3 into P2,AB
306,0.30666666666666664,2000.0,1333.6666666666667,P3 into P2,AB
307,0.30666666666666664,2000.0,1555.7777777777778,P3 into P2,AB
308,0.30666666666666664,2000.0,1777.888888888889,P3 into P2,AB
309,0.30666666666666664,2000.0,2000.0,P3 into P2,AB
310,0.30666666666666664,4333.333333333334,1.0,P3 into P2,AB
311,0.30666666666666664,4333.333333333334,482.37037037037044,P3 into P2,AB
312,0.30666666666666664,4333.333333333334,963.7407407407409,P3 into P2,AB
313,0.30666666666666664,4333.333333333334,1445.1111111111113,P3 into P2,AB
314,0.30666666666666664,4333.333333333334,1926.4814814814818,P3 into P2,AB
315,0.30666666666666664,4333.333333333334,2407.851851851852,P3 into P2,AB
316,0.30666666666666664,4333.333333333334,2889.2222222222226,P3 into P2,AB
317,0.30666666666666664,4333.333333333334,3370.592592592593,P3 into P2,AB
318,0.30666666666666664,4333.333333333334,3851.9629629629635,P3 into P2,AB
319,0.30666666666666664,4333.333333333334,4333.333333333334,P3 into P2,AB
320,0.30666666666666664,6666.666666666667,1.0,P3 into P2,AB
321,0.30666666666666664,6666.666666666667,741.6296296296297,P3 into P2,AB
322,0.30666666666666664,6666.666666666667,1482.2592592592594,P3 into P2,AB
323,0.30666666666666664,6666.666666666667,2222.888888888889,P3 into P2,AB
324,0.30666666666666664,6666.666666666667,2963.5185185185187,P3 into P2,AB
325,0.30666666666666664,6666.666666666667,3704.1481481481483,P3 into P2,AB
326,0.30666666666666664,6666.666666666667,4444.777777777778,P3 into P2,AB
327,0.30666666666666664,6666.666666666667,5185.407407407408,P3 into P2,AB
328,0.30666666666666664,6666.666666666667,5926.037037037037,P3 into P2,AB
329,0.30666666666666664,6666.666666666667,6666.666666666667,P3 into P2,AB
330,0.30666666666666664,9000.0,1.0,P3 into P2,AB
331,0.30666666666666664,9000.0,1000.8888888888889,P3 into P2,AB
332,0.30666666666666664,9000.0,2000.7777777777778,P3 into P2,AB
333,0.30666666666666664,9000.0,3000.666666666667,P3 into P2,AB
334,0.30666666666666664,9000.0,4000.5555555555557,P3 into P2,AB
335,0.30666666666666664,9000.0,5000.444444444444,P3 into P2,AB
336,0.30666666666666664,9000.0,6000.333333333334,P3 into P2,AB
337,0.30666666666666664,9000.0,7000.222222222223,P3 into P2,AB
338,0.30666666666666664,9000.0,8000.111111111111,P3 into P2,AB
339,0.30666666666666664,9000.0,9000.0,P3 into P2,AB
340,0.30666666666666664,11333.333333333334,1.0,P3 into P2,AB
341,0.30666666666666664,11333.333333333334,1260.1481481481483,P3 into P2,AB
342,0.30666666666666664,11333.333333333334,2519.2962962962965,P3 into P2,AB
343,0.30666666666666664,11333.333333333334,3778.444444444445,P3 into P2,AB
344,0.30666666666666664,11333.333333333334,5037.592592592593,P3 into P2,AB
345,0.30666666666666664,11333.333333333334,6296.740740740741,P3 into P2,AB
346,0.30666666666666664,11333.333333333334,7555.88888888889,P3 into P2,AB
347,0.30666666666666664,11333.333333333334,8815.037037037038,P3 into P2,AB
348,0.30666666666666664,11333.333333333334,10074.185185185186,P3 into P2,AB
349,0.30666666666666664,11333.333333333334,11333.333333333334,P3 into P2,AB
350,0.30666666666666664,13666.666666666668,1.0,P3 into P2,AB
351,0.30666666666666664,13666.666666666668,1519.4074074074076,P3 into P2,AB
352,0.30666666666666664,13666.666666666668,3037.8148148148152,P3 into P2,AB
353,0.30666666666666664,13666.666666666668,4556.222222222223,P3 into P2,AB
354,0.30666666666666664,13666.666666666668,6074.6296296296305,P3 into P2,AB
355,0.30666666666666664,13666.666666666668,7593.037037037038,P3 into P2,AB
356,0.30666666666666664,13666.666666666668,9111.444444444445,P3 into P2,AB
357,0.30666666666666664,13666.666666666668,10629.851851851854,P3 into P2,AB
358,0.30666666666666664,13666.666666666668,12148.259259259261,P3 into P2,AB
359,0.30666666666666664,13666.666666666668,13666.666666666668,P3 into P2,AB
360,0.30666666666666664,16000.0,1.0,P3 into P2,AB
361,0.30666666666666664,16000.0,1778.6666666666667,P3 into P2,AB
362,0.30666666666666664,16000.0,3556.3333333333335,P3 into P2,AB
363,0.30666666666666664,16000.0,5334.0,P3 into P2,AB
364,0.30666666666666664,16000.0,7111.666666666667,P3 into P2,AB
365,0.30666666666666664,16000.0,8889.333333333334,P3 into P2,AB
366,0.30666666666666664,16000.0,10667.0,P3 into P2,AB
367,0.30666666666666664,16000.0,12444.666666666668,P3 into P2,AB
368,0.30666666666666664,16000.0,14222.333333333334,P3 into P2,AB
369,0.30666666666666664,16000.0,16000.0,P3 into P2,AB
370,0.30666666666666664,18333.333333333336,1.0,P3 into P2,AB
371,0.30666666666666664,18333.333333333336,2037.925925925926,P3 into P2,AB
372,0.30666666666666664,18333.333333333336,4074.851851851852,P3 into P2,AB
373,0.30666666666666664,18333.333333333336,6111.777777777778,P3 into P2,AB
374,0.30666666666666664,18333.333333333336,8148.703703703704,P3 into P2,AB
375,0.30666666666666664,18333.333333333336,10185.629629629631,P3 into P2,AB
376,0.30666666666666664,18333.333333333336,12222.555555555557,P3 into P2,AB
377,0.30666666666666664,18333.333333333336,14259.481481481482,P3 into P2,AB
378,0.30666666666666664,18333.333333333336,16296.407407407409,P3 into P2,AB
379,0.30666666666666664,18333.333333333336,18333.333333333336,P3 into P2,AB
380,0.30666666666666664,20666.666666666668,1.0,P3 into P2,AB
381,0.30666666666666664,20666.666666666668,2297.185185185185,P3 into P2,AB
382,0.30666666666666664,20666.666666666668,4593.37037037037,P3 into P2,AB
383,0.30666666666666664,20666.666666666668,6889.555555555556,P3 into P2,AB
384,0.30666666666666664,20666.666666666668,9185.74074074074,P3 into P2,AB
385,0.30666666666666664,20666.666666666668,11481.925925925927,P3 into P2,AB
386,0.30666666666666664,20666.666666666668,13778.111111111111,P3 into P2,AB
387,0.30666666666666664,20666.666666666668,16074.296296296296,P3 into P2,AB
388,0.30666666666666664,20666.666666666668,18370.48148148148,P3 into P2,AB
389,0.30666666666666664,20666.666666666668,20666.666666666668,P3 into P2,AB
390,0.30666666666666664,23000.0,1.0,P3 into P2,AB
391,0.30666666666666664,23000.0,2556.4444444444443,P3 into P2,AB
392,0.30666666666666664,23000.0,5111.888888888889,P3 into P2,AB
393,0.30666666666666664,23000.0,7667.333333333333,P3 into P2,AB
394,0.30666666666666664,23000.0,10222.777777777777,P3 into P2,AB
395,0.30666666666666664,23000.0,12778.222222222223,P3 into P2,AB
396,0.30666666666666664,23000.0,15333.666666666666,P3 into P2,AB
397,0.30666666666666664,23000.0,17889.11111111111,P3 into P2,AB
398,0.30666666666666664,23000.0,20444.555555555555,P3 into P2,AB
399,0.30666666666666664,23000.0,23000.0,P3 into P2,AB
400,0.40555555555555556,2000.0,1.0,P3 into P2,AB
401,0.40555555555555556,2000.0,223.11111111111111,P3 into P2,AB
402,0.40555555555555556,2000.0,445.22222222222223,P3 into P2,AB
403,0.40555555555555556,2000.0,667.3333333333334,P3 into P2,AB
404,0.40555555555555556,2000.0,889.4444444444445,P3 into P2,AB
405,0.40555555555555556,2000.0,1111.5555555555557,P3 into P2,AB
406,0.40555555555555556,2000.0,1333.6666666666667,P3 into P2,AB
